                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 1.8403,                 1.7955,                 1.4394,                0.46989,                0.28571,                0.21898,                0.13597,                  2.371,                 2.9144,                 1.9845,              0.0003566,              0.0003566,              0.0003566
                     86,                 2.3675,                 1.6977,                 1.3847,                0.46989,                0.28571,                0.21898,                0.13597,                  2.371,                 2.9144,                 1.9845,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.8393,                  1.578,                 1.2958,                 0.6392,                0.42857,                0.42996,                 0.2563,                 2.1058,                 2.5881,                 1.9484,               0.000317,               0.000317,               0.000317
                     88,                 2.1409,                 1.7134,                 1.6402,                 0.6392,                0.42857,                0.42996,                 0.2563,                 2.1058,                 2.5881,                 1.9484,              0.0002972,              0.0002972,              0.0002972
                     89,                 2.0302,                 1.9896,                 1.7074,                0.48292,                0.42857,                0.37426,                0.19936,                  1.937,                 2.6502,                 1.9376,              0.0002774,              0.0002774,              0.0002774
                     90,                 2.0021,                 1.5647,                 1.4311,                0.48292,                0.42857,                0.37426,                0.19936,                  1.937,                 2.6502,                 1.9376,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.9704,                 1.9026,                 1.4363,                0.87467,                0.28571,                0.34141,                0.19444,                 2.1793,                 3.7943,                 3.0684,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.7013,                 1.6165,                 1.4027,                0.87467,                0.28571,                0.34141,                0.19444,                 2.1793,                 3.7943,                 3.0684,               0.000218,               0.000218,               0.000218
                     93,                 1.4872,                  1.441,                 1.2592,                0.37409,                0.57143,                0.44161,                0.27255,                 2.0534,                 2.1521,                 2.1675,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.6951,                 1.3946,                 1.4422,                0.37409,                0.57143,                0.44161,                0.27255,                 2.0534,                 2.1521,                 2.1675,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.8835,                 1.7151,                 1.3382,                0.90053,                0.28571,                0.36681,                0.19973,                 2.2357,                 2.5071,                 2.3888,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.8255,                 1.2895,                 1.3375,                0.90053,                0.28571,                0.36681,                0.19973,                 2.2357,                 2.5071,                 2.3888,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.7076,                 1.5006,                 1.4313,                0.73921,                0.41007,                0.48325,                0.27381,                 2.0334,                 2.0387,                 2.0993,               0.000119,               0.000119,               0.000119
                     98,                 1.7644,                 1.5919,                 1.6329,                0.73921,                0.41007,                0.48325,                0.27381,                 2.0334,                 2.0387,                 2.0993,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.8238,                 1.6302,                 1.4454,                0.57604,                0.42857,                0.48252,                 0.2524,                 2.0493,                 1.9952,                 2.0872,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.7502,                  1.377,                 1.3119,                0.57604,                0.42857,                0.48252,                 0.2524,                 2.0493,                 1.9952,                 2.0872,               5.96e-05,               5.96e-05,               5.96e-05
